set,feature,MAP@3,MAP@5,MAP@11,MAP@21
basic,color_hist,0.380768,0.284309,0.211855,0.200161
basic,correlogram,0.310097,0.232015,0.168628,0.159757
basic,sift,0.252127,0.178497,0.130962,0.1267
basic,orb,0.172721,0.12597,0.09275,0.089238
improved,color_hist,0.375368,0.281026,0.208316,0.197245
improved,correlogram,0.319015,0.238259,0.175418,0.164522
improved,sift,0.221118,0.162259,0.117995,0.11433
improved,orb,0.103297,0.074782,0.05645,0.056884
improved,hu,0.029251,0.021455,0.015971,0.015675
improved,lbp,0.28191,0.207622,0.151692,0.146133
improved,hog,0.22529,0.155801,0.104667,0.098493
improved,combined,0.213508,0.147821,0.099578,0.089843
improved,combinedw,0.432581,0.33096,0.245421,0.231173
